Feature,Chi2_Statistic,p_value,Degrees_of_Freedom,Cramers_V,Association_Strength,Significance
poutcome,4230.5237978319765,0.0,2,0.32048796034156973,Moderate,Significant
month,3101.149351411678,0.0,9,0.2743948709306683,Moderate,Significant
job,961.2424403289555,4.189763287563623e-199,11,0.15276755102517953,Weak,Significant
contact,862.3183642075705,1.5259856523129964e-189,1,0.14469331461054977,Weak,Significant
default,406.5775146420093,5.1619579513916376e-89,2,0.09935422186499668,Negligible,Significant
education,193.10590454149565,3.3051890144025054e-38,7,0.06847190717366518,Negligible,Significant
marital,122.65515182252989,2.068014648442211e-26,3,0.05457045126504373,Negligible,Significant
day_of_week,26.14493907587197,2.9584820052785324e-05,4,0.025194657858251365,Negligible,Significant
housing,5.684495858974168,0.05829447669453452,2,0.01174791039026865,Negligible,Not Significant
loan,1.094027551150338,0.5786752870441754,2,0.0051538144342840216,Negligible,Not Significant
