,mean,median,std,min,max
age,40.02406040594348,38.0,10.421249980934046,17.0,98.0
duration,258.2850101971448,180.0,259.2792488364648,0.0,4918.0
campaign,2.567592502670681,2.0,2.770013542902328,1.0,56.0
pdays,962.4754540157328,999.0,186.9109073447418,0.0,999.0
previous,0.17296299893172767,0.0,0.49490107983928966,0.0,7.0
emp.var.rate,0.08188550063125184,1.1,1.5709597405170255,-3.4,1.4
cons.price.idx,93.57566436826262,93.749,0.5788400489541262,92.201,94.767
cons.conf.idx,-40.50260027192386,-41.8,4.628197856174544,-50.8,-26.9
euribor3m,3.6212908128581147,4.857,1.7344474048512668,0.634,5.045
nr.employed,5167.035910944935,5191.0,72.25152766826106,4963.6,5228.1
